sold time,time since transaction link,nft,nft link,price,usd,attributes,seller,seller link,buyer,buyer link
29 minutes ago,https://etherscan.io/tx/0x2613e80a4a32902a5c195e0e6608ad9f158611e485458d396bf02a4925243621,Beauty in the Hurting #642 ,https://cryptoslam.io/art-blocks/mint/178000642,0.18500 ETH,$749.57,,0x7150babf27402d51deccb7b1970a9aa13317d5f8,https://cryptoslam.io/owner/0x7150babf27402d51deccb7b1970a9aa13317d5f8,0x3b0ff03342550ca4ead73d660beaccb51bacdd87,https://cryptoslam.io/owner/0x3b0ff03342550ca4ead73d660beaccb51bacdd87
59 minutes ago,https://etherscan.io/tx/0xd5c3aed70108ec90ad21533fe2d2488ae0867eb01bae51feec3f4c6bce43ffff,Stroming #242 ,https://cryptoslam.io/art-blocks/mint/86000242,1.72900 ETH,"$6,994.58","View: Single Scene, Scene: Rects, Modifiers: 3 rectangles, Palette: Schuurpapier, Inversed: False, Stream Shapes: Rectangles, Padding: Large, Streamcount: High, Stepsize: Large, Wildness: Tame",0x19cd2a253b3e559b2b5ad57170b4d5b97b64bfb3,https://cryptoslam.io/owner/0x19cd2a253b3e559b2b5ad57170b4d5b97b64bfb3,0xc77e84d72d070c75d2b23b77a238854a18d93aef,https://cryptoslam.io/owner/0xc77e84d72d070c75d2b23b77a238854a18d93aef
1 hour ago,https://etherscan.io/tx/0x4ef5d6bc2da47946e76fe5891224cadddd12dcb2cc26a91d1e0f6ae3a786df63,Stroming #65 ,https://cryptoslam.io/art-blocks/mint/86000065,1.30000 ETH,"$5,219.94","View: Single Scene, Scene: Rects, Modifiers: 2 rectangles, Palette: Zonnedauw, Inversed: False, Stream Shapes: Rectangles, Padding: Medium, Streamcount: High, Stepsize: Medium, Wildness: Wildest",0x9ead5e6e90440e69b5f28fef5942a5b273387c13,https://cryptoslam.io/owner/0x9ead5e6e90440e69b5f28fef5942a5b273387c13,0x72cb017ea0a184d9f21539025740d353769a0fbc,https://cryptoslam.io/owner/0x72cb017ea0a184d9f21539025740d353769a0fbc
1 hour ago,https://etherscan.io/tx/0x12bf2b0cffe9a6db55c54d4cc5ba833b3cdd0b6af6bf7cd411993029b12453e6,Stroming #102 ,https://cryptoslam.io/art-blocks/mint/86000102,1.80000 ETH,"$7,456.02","View: Single Scene, Scene: Grid Unequal Circles, Modifiers: 5 by 5, filled: false, Palette: Donderwolk, Inversed: True, Stream Shapes: Rectangles, Padding: Medium, Streamcount: Small, Stepsize: Small, Wildness: Wildest",0x8be28ad1d5bac98dbbe98ccd4edd414971a7009b,https://cryptoslam.io/owner/0x8be28ad1d5bac98dbbe98ccd4edd414971a7009b,0x13d33c9f2f3e7f8f14b1ee0988f4dc929ee87a92,https://cryptoslam.io/owner/0x13d33c9f2f3e7f8f14b1ee0988f4dc929ee87a92
1 hour ago,https://etherscan.io/tx/0x489a1e65c5cf13db4b32a175456bf175faaa7fc49019d4319898da0b041e8446,Stroming #117 ,https://cryptoslam.io/art-blocks/mint/86000117,0.90000 ETH,"$3,728.01","View: Single Scene, Scene: Grid Equal Circles, Modifiers: 4 by 4, filled: false, Palette: Donderwolk, Inversed: False, Stream Shapes: Rectangles, Padding: Small, Streamcount: Medium, Stepsize: Small, Wildness: Tame",0x8d868bd35f0597b931c307a0297e6998c54c42bd,https://cryptoslam.io/owner/0x8d868bd35f0597b931c307a0297e6998c54c42bd,0xc77e84d72d070c75d2b23b77a238854a18d93aef,https://cryptoslam.io/owner/0xc77e84d72d070c75d2b23b77a238854a18d93aef
1 hour ago,https://etherscan.io/tx/0xc9b299db22ec1573b23edc8bd46f85761a32c2797682a6e4975d104ce3f036e1,Stroming #181 ,https://cryptoslam.io/art-blocks/mint/86000181,1.20000 ETH,"$4,970.68","View: Single Scene, Scene: Damaged, Modifiers: filled: true, Palette: Marmer, Inversed: True, Stream Shapes: Circles, Padding: Large, Streamcount: Medium, Stepsize: Small, Wildness: Wildest",0x8955c5b0b4af3d023e4baedc9d230e9a61bcc8d7,https://cryptoslam.io/owner/0x8955c5b0b4af3d023e4baedc9d230e9a61bcc8d7,0x72cb017ea0a184d9f21539025740d353769a0fbc,https://cryptoslam.io/owner/0x72cb017ea0a184d9f21539025740d353769a0fbc
1 hour ago,https://etherscan.io/tx/0x77832da12b56f99b9e72157e0fc7f5cb3d29ce8f04663ce51679c3367ab047a4,Stroming #61 ,https://cryptoslam.io/art-blocks/mint/86000061,0.70000 ETH,"$2,916.65","View: Single Scene, Scene: Compound, Modifiers: Orientation: default, Palette: Spoorwegen, Inversed: False, Stream Shapes: Circles, Padding: Medium, Streamcount: Small, Stepsize: Medium, Wildness: Mild",0x174166ffd440ad46da51d73eacf0ee9390b64dab,https://cryptoslam.io/owner/0x174166ffd440ad46da51d73eacf0ee9390b64dab,0x9034c848fc428adf69cd87ef3f390bb4f31f8828,https://cryptoslam.io/owner/0x9034c848fc428adf69cd87ef3f390bb4f31f8828
1 hour ago,https://etherscan.io/tx/0x7285947fc6ff2a0613451c231065b23844b82b624948436a6bdd7f4ceb4d4090,Stroming #192 ,https://cryptoslam.io/art-blocks/mint/86000192,0.90000 ETH,"$3,749.98","View: Single Scene, Scene: Grid Equal Circles, Modifiers: 4 by 4, filled: true, Palette: Marmer, Inversed: False, Stream Shapes: Rectangles, Padding: Medium, Streamcount: Small, Stepsize: Medium, Wildness: Wildest",0x8d868bd35f0597b931c307a0297e6998c54c42bd,https://cryptoslam.io/owner/0x8d868bd35f0597b931c307a0297e6998c54c42bd,0x03462cfd71c71173098b933e19de979727b85dce,https://cryptoslam.io/owner/0x03462cfd71c71173098b933e19de979727b85dce
1 hour ago,https://etherscan.io/tx/0x263c2d0ef60773d45061dbb78877520becf9a856027d0d85f78db3400cd67478,Scribbled Boundaries #201 ,https://cryptoslam.io/art-blocks/mint/131000201,1.30000 WETH,"$5,416.63","Color Mode: Kline, Shape Mode: de Kooning, Thickness Mode: Standard, Aspect Ratio: Randomized",0xff727e6028f67549debd1975546cb5323f7e0569,https://cryptoslam.io/owner/0xff727e6028f67549debd1975546cb5323f7e0569,0x16182c7f8588f723c53460e2cafe88ece2ab65dd,https://cryptoslam.io/owner/0x16182c7f8588f723c53460e2cafe88ece2ab65dd
1 hour ago,https://etherscan.io/tx/0x68f6830d38ff3dc529e7ed51127426579f68b2bb592e64a57019f9a2bc704f3f,Beauty in the Hurting #367 ,https://cryptoslam.io/art-blocks/mint/178000367,0.43500 ETH,"$1,828.67",,0xf924e358ca9de3a213f8d34d746b18a7d4fcdf1b,https://cryptoslam.io/owner/0xf924e358ca9de3a213f8d34d746b18a7d4fcdf1b,0x79745529992758f9f286f976cf2db76e9b8b322b,https://cryptoslam.io/owner/0x79745529992758f9f286f976cf2db76e9b8b322b
2 hours ago,https://etherscan.io/tx/0xf9b9fe31d05a58c57cbedcba2ae59517aef3f02c2ab1ef593ce962e6459c7ad5,444(4) #181 ,https://cryptoslam.io/art-blocks/mint/191000181,1.53000 ETH,"$6,478.33",,0x9ae8c1c24c06498014a6455fafa3f2622f112a65,https://cryptoslam.io/owner/0x9ae8c1c24c06498014a6455fafa3f2622f112a65,0x154c60f7e3c3b6e752b2e3f49f198d7b7654bf9b,https://cryptoslam.io/owner/0x154c60f7e3c3b6e752b2e3f49f198d7b7654bf9b
2 hours ago,https://etherscan.io/tx/0x71dc0d6228168a8748af7031b6195bb9a5d16fc7eb8e40301cea6c34e3ec25e9,NimBuds #34 ,https://cryptoslam.io/art-blocks/mint/10000034,2.58800 WETH,"$10,958.12","Cloud Blobs: 8, 20 Wires / 11 Dangling / 6 Hidden, Mouth Width: 264, Face Color: green, Smile Amount: -78, Blink Rate: 13 seconds, Blush Variant, No Eyebrows Variant",0x9cac24428b1526596cff3a2bd2c1b662fa2dda93,https://cryptoslam.io/owner/0x9cac24428b1526596cff3a2bd2c1b662fa2dda93,0x1de3b4839d3767335435387e7b468346ae152885,https://cryptoslam.io/owner/0x1de3b4839d3767335435387e7b468346ae152885
2 hours ago,https://etherscan.io/tx/0x13b0fb6bd6d498f16a42b560693359563f77c95e1f13060d8d5ca9fc6a0f3e63,Beauty in the Hurting #305 ,https://cryptoslam.io/art-blocks/mint/178000305,0.23000 ETH,$973.87,,0x0b0aac968fa73d8f1c26a673c14fe1cc3620bdfa,https://cryptoslam.io/owner/0x0b0aac968fa73d8f1c26a673c14fe1cc3620bdfa,0x79745529992758f9f286f976cf2db76e9b8b322b,https://cryptoslam.io/owner/0x79745529992758f9f286f976cf2db76e9b8b322b
2 hours ago,https://etherscan.io/tx/0x5f48065003d6cabbcb5251b655131c5191e7fed7f43f16f4e6eca3ffae69d6ee,Synapses #623 ,https://cryptoslam.io/art-blocks/mint/39000623,1.97000 ETH,"$8,382.11","Background: Light, Origin: Bottom, Orientation: ‘The Skewed Mirror",0x4b6760682191de7e476b801b7ab42d8e8a5b041a,https://cryptoslam.io/owner/0x4b6760682191de7e476b801b7ab42d8e8a5b041a,0x2153f96f9551f645c4b9874a000364cfc185be81,https://cryptoslam.io/owner/0x2153f96f9551f645c4b9874a000364cfc185be81
2 hours ago,https://etherscan.io/tx/0xea6541f386b38b8bbb7bc7f23c10f225b979659199f6dee135464b4112b74452,Frammenti #336 ,https://cryptoslam.io/art-blocks/mint/72000336,6.00000 ETH,"$25,529.27","Palette: Feelings, Background: After, Fill: Yes, Color: Multicolor, Rows: 5, Columns: 5, Shapes: 25, Type: Army, Square: Yes, Stroke: Bold",0xcaa1c396e70384db58dd33be74b26fb119e98c3a,https://cryptoslam.io/owner/0xcaa1c396e70384db58dd33be74b26fb119e98c3a,0xd6b2d3e51140e570279cba55be19040dfea87785,https://cryptoslam.io/owner/0xd6b2d3e51140e570279cba55be19040dfea87785
2 hours ago,https://etherscan.io/tx/0x2a8f000b4bbfbb240498f44a9dba3bf6ad1e86682202385d3252bbc5e79ddf17,Seadragons #810 ,https://cryptoslam.io/art-blocks/mint/160000810,0.16190 ETH,$688.86,,0x949b198324e7b92442c2ccf73bac6e3ef3a3a0a3,https://cryptoslam.io/owner/0x949b198324e7b92442c2ccf73bac6e3ef3a3a0a3,0x2aaf33700f6c9a0c5578b802f1d60ea3cea16207,https://cryptoslam.io/owner/0x2aaf33700f6c9a0c5578b802f1d60ea3cea16207
2 hours ago,https://etherscan.io/tx/0x824666da524ec851b5d1819a1b7b9cfd357be7c48496aec774a843b25bdfb39b,Frammenti #126 ,https://cryptoslam.io/art-blocks/mint/72000126,5.00000 ETH,"$21,274.39","Palette: Terracotta, Background: Turbolence, Fill: Yes, Color: Multicolor, Rows: 1, Columns: 4, Shapes: 4, Type: Group, Square: No, Stroke: Bold",0xf7ca067533693cf62a76796d44846cb6c5ee3a9a,https://cryptoslam.io/owner/0xf7ca067533693cf62a76796d44846cb6c5ee3a9a,0xd6b2d3e51140e570279cba55be19040dfea87785,https://cryptoslam.io/owner/0xd6b2d3e51140e570279cba55be19040dfea87785
3 hours ago,https://etherscan.io/tx/0x29eb3883c06dd3db4c6761ea32744e8373dd41d37c143ab3818f1533483202e0,Skulptuur #978 ,https://cryptoslam.io/art-blocks/mint/173000978,3.97800 ETH,"$16,968.48",,0x7db5255041e2058bc40d0b07c8e36da0de37baff,https://cryptoslam.io/owner/0x7db5255041e2058bc40d0b07c8e36da0de37baff,0xebe82f09090c280b54a286c3c0266a3d25daee2b,https://cryptoslam.io/owner/0xebe82f09090c280b54a286c3c0266a3d25daee2b
3 hours ago,https://etherscan.io/tx/0x7cd8c104fae321da07a54f49ac4687d7043a1d5e3ac0122b13df6bcf3a9fb69f,Scribbled Boundaries #875 ,https://cryptoslam.io/art-blocks/mint/131000875,1.29000 ETH,"$5,509.68","Color Mode: Kline, Shape Mode: Mark, Thickness Mode: Jackson, Aspect Ratio: Standard",0x4bcf39071cad8314628fad5da76eab9d66e0d49a,https://cryptoslam.io/owner/0x4bcf39071cad8314628fad5da76eab9d66e0d49a,0x52f630867fbe5a9ac916ad3148693ba45068c399,https://cryptoslam.io/owner/0x52f630867fbe5a9ac916ad3148693ba45068c399
3 hours ago,https://etherscan.io/tx/0x4a6f5e7289433fef02560538007f5c1604f7221c44966640ca2754b58726a359,Gravity 16 #506 ,https://cryptoslam.io/art-blocks/mint/165000506,0.35000 WETH,"$1,496.97",,0x955b6f06981d77f947f4d44ca4297d2e26a916d7,https://cryptoslam.io/owner/0x955b6f06981d77f947f4d44ca4297d2e26a916d7,0x13d33c9f2f3e7f8f14b1ee0988f4dc929ee87a92,https://cryptoslam.io/owner/0x13d33c9f2f3e7f8f14b1ee0988f4dc929ee87a92
4 hours ago,https://etherscan.io/tx/0xbaed30669566d404b9b221f90ff62aec9f293550a8aca85a34ba7f863928f1d4,SpiroFlakes #575 ,https://cryptoslam.io/art-blocks/mint/136000575,0.08000 ETH,$343.34,,0x2aaf33700f6c9a0c5578b802f1d60ea3cea16207,https://cryptoslam.io/owner/0x2aaf33700f6c9a0c5578b802f1d60ea3cea16207,0x3774f879dbe37467fa91802eb7812dcc12decdec,https://cryptoslam.io/owner/0x3774f879dbe37467fa91802eb7812dcc12decdec
4 hours ago,https://etherscan.io/tx/0x04171fbc6e69bd12f1951c1018623c8f0afd2b119c3422cbf758325006213c59,We #456 ,https://cryptoslam.io/art-blocks/mint/153000456,0.08500 ETH,$363.41,,0x2aaf33700f6c9a0c5578b802f1d60ea3cea16207,https://cryptoslam.io/owner/0x2aaf33700f6c9a0c5578b802f1d60ea3cea16207,0xdce9065d7c1e7c1bdc7b4a06766c8876e9505804,https://cryptoslam.io/owner/0xdce9065d7c1e7c1bdc7b4a06766c8876e9505804
4 hours ago,https://etherscan.io/tx/0xd878a813c53ae8dc9c2f323512a9761c94555ab33bab2a87bae991509a4e8622,mono no aware #79 ,https://cryptoslam.io/art-blocks/mint/175000079,0.30000 ETH,"$1,286.37",,0x3d6d5395e1b595d35b50990180059f67321ac2b3,https://cryptoslam.io/owner/0x3d6d5395e1b595d35b50990180059f67321ac2b3,0x736c38958622ccbc6d935cbfb183beb7d79d1a69,https://cryptoslam.io/owner/0x736c38958622ccbc6d935cbfb183beb7d79d1a69
5 hours ago,https://etherscan.io/tx/0xa7363e784212cb07dda619f584f010bb8dc2ddc44fd056fed73505b3abd81190,Void #425 ,https://cryptoslam.io/art-blocks/mint/42000425,1.00000 WETH,"$4,213.67","Palette: Pastel, See Double Colors: No, Energy: High, Shape: Square, Size: Medium, Room: Spacious, Cut: None, Framed: Nicely, System: Planet, Time: Day",0xb9cdeb51bd53faf41ea92c94526f40f15460c088,https://cryptoslam.io/owner/0xb9cdeb51bd53faf41ea92c94526f40f15460c088,0xeeaf61935c0c48f8f8cc28c381683d7fa2f75e1c,https://cryptoslam.io/owner/0xeeaf61935c0c48f8f8cc28c381683d7fa2f75e1c
5 hours ago,https://etherscan.io/tx/0x743d7279eff14771b41ae0bd3e5c20490fa03f77fa067366b0e0d6da97f425d3,Gravity 12 #238 ,https://cryptoslam.io/art-blocks/mint/96000238,0.24000 ETH,"$1,013.93","Mode:Bright, Color:Duotone, Shape:Circle, Density:Low, Mass:High, Gravity:Low",0x02dd1a95bfbab29cdc976fe2df3a7b40be989c41,https://cryptoslam.io/owner/0x02dd1a95bfbab29cdc976fe2df3a7b40be989c41,0xb2a0e4aacce3b5f1364ccdae92ce26002e7b3dc1,https://cryptoslam.io/owner/0xb2a0e4aacce3b5f1364ccdae92ce26002e7b3dc1
5 hours ago,https://etherscan.io/tx/0x7dccebff2c66fddf8d3373ce9b224cfcea5e9d002904565684827e1de57e309e,Void #490 ,https://cryptoslam.io/art-blocks/mint/42000490,1.06000 ETH,"$4,478.21","Palette: Bold choice, no doubt, See Double Colors: No, Energy: High, Shape: Pentagon, Size: Medium, Room: Compact, Cut: None, Framed: Tightly, System: Planet, Time: Night",0x511b2eaf8bf2944968374f4d5f705573c00927ee,https://cryptoslam.io/owner/0x511b2eaf8bf2944968374f4d5f705573c00927ee,0x7db5255041e2058bc40d0b07c8e36da0de37baff,https://cryptoslam.io/owner/0x7db5255041e2058bc40d0b07c8e36da0de37baff
6 hours ago,https://etherscan.io/tx/0x2f79e85148a045d0fc61fe6f7e8ef39684dd16fad39d856f780ce670da0fa7a4,Rituals - Venice #904 ,https://cryptoslam.io/art-blocks/mint/172000904,0.38000 WETH,"$1,590.42",,0x9c4da3b84be6500f9d9012a9ef7d941bc22e0333,https://cryptoslam.io/owner/0x9c4da3b84be6500f9d9012a9ef7d941bc22e0333,0xc12469b7ad27706bbe9872a8a45fd9d461ba2342,https://cryptoslam.io/owner/0xc12469b7ad27706bbe9872a8a45fd9d461ba2342
6 hours ago,https://etherscan.io/tx/0xb3cecdfde1178acf085f8c8f6e976e3f90d7c0597bd3f48798758c305211e7a5,Chromie Squiggle #601 ,https://cryptoslam.io/art-blocks/mint/601,9.90000 ETH,"$41,434.71","Starting Color: 203, End Color: 33, Color Spread: 28, Color Direction: Forward, Height: 3, Segments: 12, Steps Between Segments: 200",0x8264e9e0f4cbcbbbb3f8ecaec0a625b590ae790e,https://cryptoslam.io/owner/0x8264e9e0f4cbcbbbb3f8ecaec0a625b590ae790e,0x8c0d2b62f133db265ec8554282ee60eca0fd5a9e,https://cryptoslam.io/owner/0x8c0d2b62f133db265ec8554282ee60eca0fd5a9e
6 hours ago,https://etherscan.io/tx/0x780214f92512d13c4b6b356b8928ad376db97dfb5ff20fc3b756ef85845f6b51,444(4) #268 ,https://cryptoslam.io/art-blocks/mint/191000268,1.61890 ETH,"$6,775.62",,0x644d060f55d00eafcc81f5504a53b4b9c7e676ae,https://cryptoslam.io/owner/0x644d060f55d00eafcc81f5504a53b4b9c7e676ae,0xc26241d386dd0c1e711c7104fcf72b7c6e0ecc0b,https://cryptoslam.io/owner/0xc26241d386dd0c1e711c7104fcf72b7c6e0ecc0b
6 hours ago,https://etherscan.io/tx/0x77975848a715722b72180301332eb5c45c3654e34f0d8c9e534c616ed0b5dd29,Alien Insects #328 ,https://cryptoslam.io/art-blocks/mint/137000328,0.69300 ETH,"$2,891.51","scheme: 023|0123|023|0123|12, race: ubqagle, anime: false, reinforced: true, elite: false, modified: false, mutated: false, modification: false, accelerated: true, powerField: false",0x8d4be76c4113046d9d7ac34a11adecea91b977cd,https://cryptoslam.io/owner/0x8d4be76c4113046d9d7ac34a11adecea91b977cd,0x575f6540c16a72696c14a17fa64f049992d661ab,https://cryptoslam.io/owner/0x575f6540c16a72696c14a17fa64f049992d661ab
6 hours ago,https://etherscan.io/tx/0x8f05b9814f5be4b3b5bf22a1afff4cedc22ebfa52fd0412578998815f70aa280,Meridian #545 ,https://cryptoslam.io/art-blocks/mint/163000545,11.00000 ETH,"$45,896.94",,0x0f3d941a0fc7866cdea6539da7e78a10aceac58c,https://cryptoslam.io/owner/0x0f3d941a0fc7866cdea6539da7e78a10aceac58c,0x3fcddb0dd912e6f68927b448546cce99f22a3e31,https://cryptoslam.io/owner/0x3fcddb0dd912e6f68927b448546cce99f22a3e31
7 hours ago,https://etherscan.io/tx/0x4be9f0c34b6a2776c24470a6ff143c9f19b1deb552c8e72c8520067d70313d57,Warp #376 ,https://cryptoslam.io/art-blocks/mint/154000376,1.10000 WETH,"$4,581.07",,0x0e57959fd12620b96abdee5bfd6bb0c052688569,https://cryptoslam.io/owner/0x0e57959fd12620b96abdee5bfd6bb0c052688569,0x6717af6cef0ac26999eec6484ed213c9ff81a257,https://cryptoslam.io/owner/0x6717af6cef0ac26999eec6484ed213c9ff81a257
7 hours ago,https://etherscan.io/tx/0x920a48452a3dbde7ec6464968e821c92329362f0daf96daea6e252db221cf9ce,Ode to Roy #192 ,https://cryptoslam.io/art-blocks/mint/63000192,0.50000 ETH,"$2,082.31","Layer Count: Small, Color Palette: Other, Alternate Color: Black & White, Orientation: Vertical, Dot Size: Large, Noise: Small, Letters: n/a",0x1d59bcc9836c6fda59cc240827232de9007f80f4,https://cryptoslam.io/owner/0x1d59bcc9836c6fda59cc240827232de9007f80f4,0x5061fe9e63480d89535c6ac19fd91c924e4904bf,https://cryptoslam.io/owner/0x5061fe9e63480d89535c6ac19fd91c924e4904bf
7 hours ago,https://etherscan.io/tx/0x0d4c3e919e4480d893158c23c1575513ba530d8b0f05432fa5577a95553b8678,Democracity #203 ,https://cryptoslam.io/art-blocks/mint/162000203,0.30000 ETH,"$1,245.23",,0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,https://cryptoslam.io/owner/0x616ed054e0e0fdbfcad3fa2f42daed3d7d4ee448,0x3598b2883a370be3fa9893cce920ab835eac5901,https://cryptoslam.io/owner/0x3598b2883a370be3fa9893cce920ab835eac5901
7 hours ago,https://etherscan.io/tx/0x26ddc1a3a5749a81b178bb440d102cc4d1020e0ceceee8837f681684bbd85769,Cryptoblots #1567 ,https://cryptoslam.io/art-blocks/mint/3001567,0.79900 ETH,"$3,316.45","Unary Cryptoblot, Color: Bleu de France",0x4b6760682191de7e476b801b7ab42d8e8a5b041a,https://cryptoslam.io/owner/0x4b6760682191de7e476b801b7ab42d8e8a5b041a,0xfa42d7f197f2793cca274186a4bdbf6ade5a8884,https://cryptoslam.io/owner/0xfa42d7f197f2793cca274186a4bdbf6ade5a8884
8 hours ago,https://etherscan.io/tx/0xff2f5ecbf9bc2bf01626952eee6a25537955e24543ad49d6ec719913d7ff8320,444(4) #179 ,https://cryptoslam.io/art-blocks/mint/191000179,1.50000 ETH,"$6,239.25",,0xbe681d305f9ac149eaa565bebb4a125eeb06d7a0,https://cryptoslam.io/owner/0xbe681d305f9ac149eaa565bebb4a125eeb06d7a0,0x26adcc28d8152c5ddf187d2dbec226f277d87ed7,https://cryptoslam.io/owner/0x26adcc28d8152c5ddf187d2dbec226f277d87ed7
8 hours ago,https://etherscan.io/tx/0xf78580fe6c8919e1c64d9501031208ea67d72395fb414a6aa7916b780ff6c967,SpiroFlakes #113 ,https://cryptoslam.io/art-blocks/mint/136000113,0.09000 ETH,$373.73,,0x2aaf33700f6c9a0c5578b802f1d60ea3cea16207,https://cryptoslam.io/owner/0x2aaf33700f6c9a0c5578b802f1d60ea3cea16207,0x3b3136d269480017d8b7a050deb0d7ed979b8075,https://cryptoslam.io/owner/0x3b3136d269480017d8b7a050deb0d7ed979b8075
8 hours ago,https://etherscan.io/tx/0xb19f316bcd9b68e027521fb98f5146337c9564366078c051b7e8484a228afe88,Cells #7 ,https://cryptoslam.io/art-blocks/mint/122000007,0.05000 ETH,$207.87,"All Cells, Style: Palette, Palette: 13, Cells: 5, Cells Size: 4, Cells Position: Variable, Cells Background: Offset, Branches: Long, Branch Orientation: Variable, Number of Branches: Variable",0xcf18d270ab8b53eedd2c476de36d826e11a276a3,https://cryptoslam.io/owner/0xcf18d270ab8b53eedd2c476de36d826e11a276a3,0xd763161093fc49ef5b354cce9a7c4f0083d5c907,https://cryptoslam.io/owner/0xd763161093fc49ef5b354cce9a7c4f0083d5c907
8 hours ago,https://etherscan.io/tx/0xbf7d35b9b8764985f9e1f66619819228b79c406ef7485796b194586994c14897,Meridian #76 ,https://cryptoslam.io/art-blocks/mint/163000076,15.75000 ETH,"$65,480.32",,0x121ee2b015888a6d0d4a925ea41c0caf78c8d54a,https://cryptoslam.io/owner/0x121ee2b015888a6d0d4a925ea41c0caf78c8d54a,0x0d23e2107fb2564343de28543545bcccc0b52574,https://cryptoslam.io/owner/0x0d23e2107fb2564343de28543545bcccc0b52574
9 hours ago,https://etherscan.io/tx/0x589eae81adedf938ac697e58ff56208dd39af30a29ff665d1a5c9ef943ad33fc,Apparitions #221 ,https://cryptoslam.io/art-blocks/mint/28000221,3.00000 ETH,"$12,417.14","Positioning: Floating, Colors: Zephyr, Stretch: Compressed, Haunting: Periodic, Facing: East, Spook: Panic, Bands: FM, Brush Style: Blended, Reach: Arm\'s Length, Altitude: Stratosphere",0xfb6223ea050a0956cdf294129a00f66b5ae4f5a5,https://cryptoslam.io/owner/0xfb6223ea050a0956cdf294129a00f66b5ae4f5a5,0xa9995648fcac5b970cd25e141da08c6e0a063fc8,https://cryptoslam.io/owner/0xa9995648fcac5b970cd25e141da08c6e0a063fc8
9 hours ago,https://etherscan.io/tx/0x554d2b407dee796040d290738c8c4d1a943b19e00be1721832c25735f94e42ff,Meridian #264 ,https://cryptoslam.io/art-blocks/mint/163000264,11.00000 WETH,"$45,529.51",,0xc142995f05436c91bba172b7d17522a301323236,https://cryptoslam.io/owner/0xc142995f05436c91bba172b7d17522a301323236,0x3fcddb0dd912e6f68927b448546cce99f22a3e31,https://cryptoslam.io/owner/0x3fcddb0dd912e6f68927b448546cce99f22a3e31
9 hours ago,https://etherscan.io/tx/0xb4cf220e0170c48d7b7bac18e2d37690ece3465f1854512bc04f4b2b504b582c,Frammenti #197 ,https://cryptoslam.io/art-blocks/mint/72000197,4.70000 ETH,"$19,382.49","Palette: Arctica, Background: Night, Fill: Yes, Color: Multicolor, Rows: 4, Columns: 2, Shapes: 8, Type: Group, Square: No, Stroke: Bold",0xdfea5f342747e6c24feee74f6bf041c559033f8a,https://cryptoslam.io/owner/0xdfea5f342747e6c24feee74f6bf041c559033f8a,0x2039e9e63105502767ea352cbc4070a66a6ceac6,https://cryptoslam.io/owner/0x2039e9e63105502767ea352cbc4070a66a6ceac6
9 hours ago,https://etherscan.io/tx/0xfc46b2c2174ca7176a1b59477802a7fa01f5a92ae7a89aceb3c79aa5b330f702,Skulptuur #868 ,https://cryptoslam.io/art-blocks/mint/173000868,5.00000 ETH,"$20,619.67",,0x2a757a222b53fadf84d048f3fe99c5b20c59aff7,https://cryptoslam.io/owner/0x2a757a222b53fadf84d048f3fe99c5b20c59aff7,0xebe82f09090c280b54a286c3c0266a3d25daee2b,https://cryptoslam.io/owner/0xebe82f09090c280b54a286c3c0266a3d25daee2b
9 hours ago,https://etherscan.io/tx/0x6459b49a6c274cb72f2fbb88faa2f293fd7a50726b4b69dfdade2c3a0056d44f,444(4) #168 ,https://cryptoslam.io/art-blocks/mint/191000168,2.24000 ETH,"$9,257.33",,0x16182c7f8588f723c53460e2cafe88ece2ab65dd,https://cryptoslam.io/owner/0x16182c7f8588f723c53460e2cafe88ece2ab65dd,0xfcbac50902c41132a406b62dad3c3c0685d4f91e,https://cryptoslam.io/owner/0xfcbac50902c41132a406b62dad3c3c0685d4f91e
9 hours ago,https://etherscan.io/tx/0x7c071c0d166d72093ac9eabc9a2421129010023361619682f2d3c3902eaf5368,Chromie Squiggle #5786 ,https://cryptoslam.io/art-blocks/mint/5786,9.50000 ETH,"$39,261.02","Starting Color: 58, End Color: 115, Color Spread: 49, Color Direction: Forward, Height: 3, Segments: 14, Steps Between Segments: 200",0x762b35b809ac4266beb076ff0f28547ad571201e,https://cryptoslam.io/owner/0x762b35b809ac4266beb076ff0f28547ad571201e,0x98f1e320dc68915c8d5552549079183e589db8e9,https://cryptoslam.io/owner/0x98f1e320dc68915c8d5552549079183e589db8e9
